Source,Target,Type
Diane Keaton,Frank Adu,Undirected
Robert Shaw,Hector Elizondo,Undirected
Gene Wilder,Harvey Korman,Undirected
John Randolph,Biff McGuire,Undirected
John Saxon,Ahna Capri,Undirected
Burt Reynolds,Ronny Cox,Undirected
Roy Scheider,Tony Lo Bianco,Undirected
Andrew Robinson,Reni Santoni,Undirected
Clint Eastwood,Patrick Wymark,Undirected
Walter Matthau,Herb Edelman,Undirected
Ernest Borgnine,John Cassavetes,Undirected
Jean Sorel,Geneviève Page,Undirected
Wendy Hiller,Leo McKern,Undirected
Ian Hendry,Yvonne Furneaux,Undirected
Jack Hawkins,James Booth,Undirected
Gert Fröbe,Shirley Eaton,Undirected
Tippi Hedren,Suzanne Pleshette,Undirected
Robert Mitchum,Lori Martin,Undirected
Anna Massey,Maxine Audley,Undirected
Steve McQueen,Eli Wallach,Undirected
Alida Valli,Alexandre Rignault,Undirected
Dana Wynter,King Donovan,Undirected
Natalie Wood,Jim Backus,Undirected
Peter Sellers,Herbert Lom,Undirected
Audrey Hepburn,Walter Hampden,Undirected
Maureen O'Hara,Ward Bond,Undirected
Patricia Neal,Sam Jaffe,Undirected
Katharine Hepburn,Peter Bull,Undirected
Glenn Ford,Joseph Calleia,Undirected
Ford Beebe Jr.,David Hand,Undirected
Gloria Stuart,Henry Travers,Undirected
Anne Hathaway,Bill Pullman,Undirected
Debra Messing,Michelle La,Undirected
Brad Pitt,Emile Hirsch,Undirected
Aleksey Rozin,Marina Vasileva,Undirected
Bria Vinaite,Christopher Rivera,Undirected
Jamie Foxx,Charlie Pye Jr.,Undirected
Mckenna Grace,Octavia Spencer,Undirected
Zack Gottsagen,Dakota Johnson,Undirected
Frederick Lau,Burak Yigit,Undirected
Doga Zeynep Doguslu,Elit Iscan,Undirected
Zoe Saldana,Vin Diesel,Undirected
Jon Bernthal,Eiza González,Undirected
Miles Teller,Jennifer Connelly,Undirected
Mark Rylance,Amy Ryan,Undirected
Holly Hunter,Huck Milner,Undirected
Don Hall,Auli'i Cravalho,Undirected
Josh Brolin,Jon Bernthal,Undirected
Sylvester Stallone,Phylicia Rashad,Undirected
Elena Lyadova,Vladimir Vdovichenkov,Undirected
Ben Foster,Gil Birmingham,Undirected
Steve Coogan,Mare Winningham,Undirected
Keri Russell,Kodi Smit-McPhee,Undirected
Hugo Silva,Aura Garrido,Undirected
Ananda George,Donny Alamsyah,Undirected
Michael Peña,America Ferrera,Undirected
Mirai Shida,Tatsuya Fujiwara,Undirected
Bradley Cooper,Greg Grunberg,Undirected
Jeff Bridges,Hailee Steinfeld,Undirected
Trine Dyrholm,Wil Johnson,Undirected
Steve Carell,Russell Brand,Undirected
Seth Rogen,Bryce Dallas Howard,Undirected
Nicolas Cage,Garrett M. Brown,Undirected
Alberto Ammann,Manuel Morón,Undirected
Robin Wright,Philip Seymour Hoffman,Undirected
Elena Anaya,Marisa Paredes,Undirected
Emma Stone,Abigail Breslin,Undirected
Frederick Lau,Jennifer Ulrich,Undirected
Jude Law,Mark Strong,Undirected
Sandra Bullock,Jae Head,Undirected
Haaz Sleiman,Hiam Abbass,Undirected
Rosario Dawson,Michael Ealy,Undirected
Viggo Mortensen,Josef Altin,Undirected
Claire Danes,Ian McKellen,Undirected
Evan McGuire,Mick Lally,Undirected
Clive Owen,Christopher Plummer,Undirected
Ed Harris,Michelle Monaghan,Undirected
Sylvie Testud,Emmanuelle Seigner,Undirected
Li Sun,Yun Qu,Undirected
Jessica Biel,Rufus Sewell,Undirected
Gary Stretch,Stuart Wolfenden,Undirected
Emma Watson,Michael Gambon,Undirected
Lena Headey,Dominic West,Undirected
Jonathan Rhys Meyers,Matthew Goode,Undirected
Patrick Wilson,Malin Akerman,Undirected
Ethan Hawke,Bridget Moynahan,Undirected
Leigh Whannell,Ken Leung,Undirected
Samantha Morton,Catherine Keener,Undirected
Joseph Gordon-Levitt,Chase Ellison,Undirected
Marion Cotillard,Joséphine Lebas-Joly,Undirected
Gaspard Ulliel,Dominique Pinon,Undirected
Patricia Clarkson,Paul Benjamin,Undirected
Benicio Del Toro,Danny Huston,Undirected
Shin Ha-kyun,Ji-Eun Lim,Undirected
Kate Winslet,Radha Mitchell,Undirected
Barry Pepper,Rosario Dawson,Undirected
Ashton Kutcher,Melora Walters,Undirected
Naomie Harris,Alex Palmer,Undirected
Aki Maeda,Takeshi Kitano,Undirected
Gwyneth Paltrow,Ben Stiller,Undirected
Gael García Bernal,Ana López Mercado,Undirected
Rupert Grint,Maggie Smith,Undirected
Christopher Eccleston,Alakina Mann,Undirected
Penélope Cruz,Rachel Griffiths,Undirected
Ed Harris,Rachel Weisz,Undirected
Colin Farrell,Max von Sydow,Undirected
Vicellous Shannon,Liev Schreiber,Undirected
Justin Theroux,Bill Sage,Undirected
Moritz Bleibtreu,Nina Petri,Undirected
Sean Penn,Kirk Acevedo,Undirected
Ming-Na Wen,BD Wong,Undirected
Benicio Del Toro,Michael Lee Gogin,Undirected
Ulrich Mühe,Frank Giering,Undirected
Kiefer Sutherland,William Hurt,Undirected
Kevin Bacon,Jason Patric,Undirected
Patricia Arquette,Louis Eppolito,Undirected
Kate Winslet,Tom Wilkinson,Undirected
Jeremy Irons,Graham Greene,Undirected
Gary Farmer,Lance Henriksen,Undirected
Meryl Streep,Victor Slezak,Undirected
Bill Paxton,Gary Sinise,Undirected
Julie Delpy,Jerzy Stuhr,Undirected
Robert Duvall,Rachel Ticotin,Undirected
Wiley Wiggins,Rory Cochrane,Undirected
Marisa Tomei,Mitchell Whitfield,Undirected
Toshirô Yanagiba,Mayumi Izuka,Undirected
Marie-Laure Dougnac,Pascal Benezech,Undirected
Joe Pesci,John Heard,Undirected
Diane Keaton,Talia Shire,Undirected
Meg Ryan,Bruno Kirby,Undirected
Jodi Benson,Rene Auberjonois,Undirected
Priscilla Presley,Ricardo Montalban,Undirected
John Candy,Michael McKean,Undirected
Danny Glover,Mitchell Ryan,Undirected
John Getz,Dan Hedaya,Undirected
Henry Fonda,Doug McKeon,Undirected
Bruce Spence,Max Phipps,Undirected
James Remar,Brian Tyler,Undirected
Frank Oz,Richard Hunt,Undirected
Patrick McGoohan,Jack Thibeau,Undirected
John Hurt,Ralph Richardson,Undirected
Irene Miracle,Paolo Bonacelli,Undirected
François Truffaut,Melinda Dillon,Undirected
Nina van Pallandt,Mark Rydell,Undirected
James Coburn,Maria Monti,Undirected
Telly Savalas,Carroll O'Connor,Undirected
Sebastian Cabot,Bruce Reitherman,Undirected
Vanessa Redgrave,John Castle,Undirected
Paul McCartney,Ringo Starr,Undirected
George Peppard,Buddy Ebsen,Undirected
Rock Hudson,Carroll Baker,Undirected
Montgomery Clift,Donna Reed,Undirected
John Hodiak,William Bendix,Undirected
Madeleine Carroll,Godfrey Tearle,Undirected
Bob Gunton,William Sadler,Undirected
James Caan,Diane Keaton,Undirected
Aaron Eckhart,Michael Caine,Undirected
Robert Duvall,Diane Keaton,Undirected
Martin Balsam,John Fiedler,Undirected
Ian McKellen,Orlando Bloom,Undirected
Samuel L. Jackson,Bruce Willis,Undirected
Ben Kingsley,Caroline Goodall,Undirected
Elliot Page,Ken Watanabe,Undirected
Meat Loaf,Zach Grenier,Undirected
Orlando Bloom,Sean Bean,Undirected
Gary Sinise,Sally Field,Undirected
Lee Van Cleef,Aldo Giuffrè,Undirected
Viggo Mortensen,Orlando Bloom,Undirected
Laurence Fishburne,Carrie-Anne Moss,Undirected
Joe Pesci,Lorraine Bracco,Undirected
Carrie Fisher,Billy Dee Williams,Undirected
Michael Berryman,Peter Brocco,Undirected
Leslie Odom Jr.,Renée Elise Goldsberry,Undirected
Cho Yeo-jeong,Choi Woo-sik,Undirected
Paresh Rawal,Aparna Balamurali,Undirected
Jessica Chastain,Mackenzie Foy,Undirected
Leandro Firmino,Matheus Nachtergaele,Undirected
Miyu Irino,Rumi Hiiragi,Undirected
Tom Sizemore,Edward Burns,Undirected
David Morse,Bonnie Hunt,Undirected
Giorgio Cantarini,Giustino Durano,Undirected
Kevin Spacey,Andrew Kevin Walker,Undirected
Lawrence A. Bonney,Kasi Lemmons,Undirected
Carrie Fisher,Alec Guinness,Undirected
Shima Iwashita,Tetsurô Tanba,Undirected
Keiko Tsushima,Yukiko Shimazaki,Undirected
Lionel Barrymore,Thomas Mitchell,Undirected
Zazie Beetz,Frances Conroy,Undirected
Melissa Benoist,Paul Reiser,Undirected
Omar Sy,Anne Le Ny,Undirected
Scarlett Johansson,Michael Caine,Undirected
Jack Nicholson,Mark Wahlberg,Undirected
Frank Finlay,Emilia Fox,Undirected
Connie Nielsen,Oliver Reed,Undirected
Beverly D'Angelo,Jennifer Lien,Undirected
Chazz Palminteri,Stephen Baldwin,Undirected
Natalie Portman,Danny Aiello,Undirected
Jeremy Irons,James Earl Jones,Undirected
Edward Furlong,Robert Patrick,Undirected
Antonella Attili,Isa Danieli,Undirected
Akemi Yamaguchi,Yoshiko Shinohara,Undirected
Lea Thompson,Crispin Glover,Undirected
Claudia Cardinale,Jason Robards,Undirected
Vera Miles,John Gavin,Undirected
Paul Henreid,Claude Rains,Undirected
Henry Bergman,Tiny Sandford,Undirected
Florence Lee,Harry Myers,Undirected
Boluwatife Treasure Bankole,Kawsar Al Haddad,Undirected
Ismail Hacioglu,Kyung-jin Lee,Undirected
Vijay Sethupathi,Shraddha Srinath,Undirected
Ryô Narita,Aoi Yûki,Undirected
Fatima Sana Shaikh,Sanya Malhotra,Undirected
Shameik Moore,Jake Johnson,Undirected
Chris Evans,Mark Ruffalo,Undirected
Chris Hemsworth,Mark Ruffalo,Undirected
Gael García Bernal,Benjamin Bratt,Undirected
Leonardo DiCaprio,Kerry Washington,Undirected
Anne Hathaway,Gary Oldman,Undirected
Mona Singh,Sharman Joshi,Undirected
Aamir Khan,Tisca Chopra,Undirected
Jeff Garlin,Fred Willard,Undirected
Sebastian Koch,Ulrich Tukur,Undirected
Kang Hye-jeong,Kim Byeong-Ok,Undirected
Joe Pantoliano,Mark Boone Junior,Undirected
Yûko Tanaka,Billy Crudup,Undirected
Elizabeth McGovern,Treat Williams,Undirected
Paul Freeman,John Rhys-Davies,Undirected
Danny Lloyd,Scatman Crothers,Undirected
Robert Duvall,Frederic Forrest,Undirected
John Hurt,Veronica Cartwright,Undirected
Sumita Sanyal,Ramesh Deo,Undirected
Tatsuya Nakadai,Kyôko Kagawa,Undirected
Sterling Hayden,Keenan Wynn,Undirected
Charles Laughton,Elsa Lanchester,Undirected
Adolphe Menjou,George Macready,Undirected
Wendell Corey,Thelma Ritter,Undirected
Erich von Stroheim,Nancy Olson,Undirected
Jack Oakie,Reginald Gardiner,Undirected
Daniel Mays,Colin Firth,Undirected
Sohum Shah,Jyoti Malshe,Undirected
Radhika Apte,Anil Dhawan,Undirected
Asha Sharath,Ansiba,Undirected
Annika Wedderkopp,Lasse Fogelstrøm,Undirected
Sareh Bayat,Shahab Hosseini,Undirected
Maxim Gaudette,Mustafa Kamel,Undirected
Deniz Baysal,Celile Toyon Uysal,Undirected
Hümeyra,Ege Tanman,Undirected
Eli Roth,Mélanie Laurent,Undirected
Tom Wilkinson,Gerry Robert Byrne,Undirected
Rufus,Lorella Cravotta,Undirected
Benicio Del Toro,Dennis Farina,Undirected
Jennifer Connelly,Marlon Wayans,Undirected
Thora Birch,Wes Bentley,Undirected
Ben Affleck,Stellan Skarsgård,Undirected
Bahare Seddiqi,Nafise Jafar-Mohammadi,Undirected
Don Rickles,Jim Varney,Undirected
Patrick McGoohan,Angus Macfadyen,Undirected
Michael Madsen,Chris Penn,Undirected
Vincent D'Onofrio,Adam Baldwin,Undirected
Liubomiras Laucevicius,Vladas Bagdonas,Undirected
Carrie Henn,Paul Reiser,Undirected
Elizabeth Berridge,Roy Dotrice,Undirected
Steven Bauer,Mary Elizabeth Mastrantonio,Undirected
Carrie Fisher,Billy Dee Williams,Undirected
Klaus Wennemann,Hubertus Bengsch,Undirected
Cybill Shepherd,Albert Brooks,Undirected
Robert Shaw,Charles Durning,Undirected
Michael Bates,Warren Clarke,Undirected
William Sylvester,Daniel Richter,Undirected
Gian Maria Volontè,Mara Krupp,Undirected
Anthony Quinn,Jack Hawkins,Undirected
Fred MacMurray,Ray Walston,Undirected
James Mason,Jessie Royce Landis,Undirected
Barbara Bel Geddes,Tom Helmore,Undirected
Donald O'Connor,Debbie Reynolds,Undirected
Shin'ichi Himori,Haruo Tanaka,Undirected
Lianella Carell,Elena Altieri,Undirected
Edward G. Robinson,Byron Barr,Undirected
Dorothy Comingore,Agnes Moorehead,Undirected
Inge Landgut,Otto Wernicke,Undirected
Gustav Fröhlich,Rudolf Klein-Rogge,Undirected
Jackie Coogan,Carl Miller,Undirected
Varun Sharma,Prateik,Undirected
Mohit Raina,Yami Gautam,Undirected
Ramachandra Raju,Archana Jois,Undirected
Linda Cardellini,Sebastian Maniscalco,Undirected
Sam Rockwell,Caleb Landry Jones,Undirected
Neeraj Kabi,Sohum Shah,Undirected
Anushka Shetty,Tamannaah Bhatia,Undirected
J.K. Simmons,Rashida Jones,Undirected
Tabu,Rajat Kapoor,Undirected
Lisa Haydon,Jeffrey Ho,Undirected
Giorgi Nakashidze,Misha Meskhi,Undirected
Pawan Malhotra,Art Malik,Undirected
Nawazuddin Siddiqui,Tigmanshu Dhulia,Undirected
Manjot Singh,Ram Kapoor,Undirected
Rajesh Abhay,Hemendra Dandotiya,Undirected
Pablo Rago,Carla Quevedo,Undirected
Joel Edgerton,Jennifer Morrison,Undirected
Mark Ruffalo,Ben Kingsley,Undirected
Jordan Nagai,John Ratzenberger,Undirected
Margot Robbie,Matthew McConaughey,Undirected
Sagarika Ghatge,Shilpa Shukla,Undirected
Ciarán Hinds,Martin Stringer,Undirected
Sergi López,Maribel Verdú,Undirected
Joan Cusack,Ned Beatty,Undirected
Rupert Graves,Stephen Rea,Undirected
Siddharth,Sharman Joshi,Undirected
Shernaz Patel,Ayesha Kapoor,Undirected
Ken Watanabe,Liam Neeson,Undirected
Kishori Ballal,Smit Sheth,Undirected
Ulrich Matthes,Juliane Köhler,Undirected
Tatsuya Gashûin,Akihiro Miwa,Undirected
Jennifer Connelly,Christopher Plummer,Undirected
Paresh Rawal,Tabu,Undirected
Nick Moran,Jason Statham,Undirected
Guy Pearce,Kim Basinger,Undirected
Sermin Hürmeriç,Yesim Salkim,Undirected
Val Kilmer,Jon Voight,Undirected
Joe Pesci,James Woods,Undirected
Raveena Tandon,Karisma Kapoor,Undirected
Morgan Freeman,Richard Harris,Undirected
Alison Doody,Denholm Elliott,Undirected
Ljubica Adzovic,Husnija Hasimovic,Undirected
Chika Sakamoto,Shigesato Itoi,Undirected
Bonnie Bedelia,Reginald VelJohnson,Undirected
Jinpachi Nezu,Daisuke Ryû,Undirected
Joe Pesci,Frank Vincent,Undirected
Anatoliy Solonitsyn,Nikolay Grinko,Undirected
Lena Nyman,Halvar Björk,Undirected
Michael Ansara,Johnny Sekka,Undirected
Amitabh Bachchan,Amjad Khan,Undirected
John Cleese,Eric Idle,Undirected
Richard Attenborough,Charles Bronson,Undirected
Frank Overton,Rosemary Murphy,Undirected
Tatsuya Nakadai,Yôko Tsukasa,Undirected
Richard Widmark,Marlene Dietrich,Undirected
Jack Lemmon,George Raft,Undirected
Ingrid Thulin,Gunnar Björnstrand,Undirected
Bengt Ekerot,Nils Poppe,Undirected
Robert Manuel,Janine Darcey,Undirected
Robert Cummings,John Williams,Undirected
Sô Yamamura,Setsuko Hara,Undirected
Masayuki Mori,Takashi Shimura,Undirected
George Sanders,Celeste Holm,Undirected
Tim Holt,Bruce Bennett,Undirected
Robert Stack,Felix Bressart,Undirected
Tom Murray,Henry Bergman,Undirected
Joe Keaton,Erwin Connelly,Undirected
Luàna Bajrami,Valeria Golino,Undirected
Kirti Kulhari,Andrea Tariang,Undirected
Aoi Yûki,Kenshô Ono,Undirected
Jose Coronado,Bárbara Lennie,Undirected
Cho Jin-woong,Moon So-Ri,Undirected
Suzanne Clément,Patrick Huard,Undirected
Shraddha Kapoor,Kay Kay Menon,Undirected
Dafne Keen,Boyd Holbrook,Undirected
Sean Bridgers,Wendy Crewson,Undirected
Mónica Villa,Diego Starosta,Undirected
Tina Fey,Graham Norton,Undirected
Demet Akbag,Ayberk Pekcan,Undirected
Sanjay Dutt,Boman Irani,Undirected
Mithun Chakraborty,Mahesh Manjrekar,Undirected
Mathieu Amalric,Adrien Brody,Undirected
Neil Patrick Harris,Tyler Perry,Undirected
Haru Kuroki,Yukito Nishii,Undirected
Luke Bracey,Teresa Palmer,Undirected
Bill Hader,Lewis Black,Undirected
Ileana D'Cruz,Saurabh Shukla,Undirected
Michael Fassbender,Brad Pitt,Undirected
Olivia Wilde,Alexandra Maria Lara,Undirected
Jon Bernthal,Caitriona Balfe,Undirected
Rachel McAdams,Liev Schreiber,Undirected
Lisa Hannigan,Fionnula Flanagan,Undirected
Indraneil Sengupta,Nawazuddin Siddiqui,Undirected
Abhay Deol,Katrina Kaif,Undirected
Viola Davis,Melissa Leo,Undirected
Nicholas Hoult,Zoë Kravitz,Undirected
Jimmy Sheirgill,Aamir Bashir,Undirected
Christopher Carley,Ahney Her,Undirected
Rupert Grint,Michael Gambon,Undirected
Tsutomu Yamazaki,Kazuko Yoshiyuki,Undirected
Cary-Hiroyuki Tagawa,Sarah Roemer,Undirected
Eric Bana,Barry Humphries,Undirected
Gerard Butler,Christopher Mintz-Plasse,Undirected
Catherine Keener,Marcia Gay Harden,Undirected
Javier Bardem,Josh Brolin,Undirected
Vidya Balan,Boman Irani,Undirected
Morgan Freeman,Jay Baruchel,Undirected
Joaquin Phoenix,Xolani Mali,Undirected
Eun-ju Lee,Hyeong-jin Kong,Undirected
Vernon Dobtcheff,Louise Lemoine Torrès,Undirected
Gracy Singh,Sunil Dutt,Undirected
Roe-ha Kim,Jae-ho Song,Undirected
Akshaye Khanna,Preity Zinta,Undirected
Daryl Hannah,Michael Madsen,Undirected
Ellen DeGeneres,Alexander Gould,Undirected
Christopher Walken,Martin Sheen,Undirected
Goya Toledo,Álvaro Guerrero,Undirected
Billy Crystal,John Goodman,Undirected
Megumi Hayashibara,Yûko Miyamura,Undirected
Gracy Singh,Rachel Shelley,Undirected
Toni Collette,Olivia Williams,Undirected
Mélanie Thierry,Bill Nunn,Undirected
Laura Linney,Noah Emmerich,Undirected
Branka Katic,Florijan Ajdini,Undirected
John Goodman,Julianne Moore,Undirected
Ping Lam Siu,Tung Cho 'Joe' Cheung,Undirected
Jonny Lee Miller,Kevin McKidd,Undirected
Frances McDormand,Steve Buscemi,Undirected
Mirjana Jokovic,Slavko Stimac,Undirected
Saïd Taghmaoui,Abdel Ahmed Ghili,Undirected
Amrish Puri,Farida Jalal,Undirected
Andrea Eckert,Hanno Pöschl,Undirected
Frédérique Feder,Jean-Pierre Lorit,Undirected
Tony Chiu-Wai Leung,Faye Wong,Undirected
Jeff Goldblum,Richard Attenborough,Undirected
Alison Crosbie,Philip King,Undirected
Gong Li,You Ge,Undirected
Saifei He,Cuifen Cao,Undirected
Ethan Hawke,Josh Charles,Undirected
Corey Feldman,Jerry O'Connell,Undirected
Willem Dafoe,Keith David,Undirected
Dean Stockwell,Aurore Clément,Undirected
Hisako Kyôda,Gorô Naya,Undirected
Keith David,Richard Masur,Undirected
James Laurenson,Eleanor David,Undirected
José Lewgoy,Miguel Ángel Fuentes,Undirected
Kristina Adolphson,Börje Ahlstedt,Undirected
Sean Young,Edward James Olmos,Undirected
Anne Bancroft,John Gielgud,Undirected
Michael Palin,Terry Gilliam,Undirected
John Cazale,John Savage,Undirected
Burt Young,Carl Weathers,Undirected
Peter Finch,Robert Duvall,Undirected
Patrick Magee,Hardy Krüger,Undirected
Ignat Daniltsev,Oleg Yankovskiy,Undirected
John Huston,Perry Lopez,Undirected
Madeline Kahn,John Hillerman,Undirected
Kari Sylwan,Ingrid Thulin,Undirected
Jüri Järvet,Vladislav Dvorzhetskiy,Undirected
Nathalie Delon,Cathy Rosier,Undirected
Strother Martin,J.D. Cannon,Undirected
Margaretha Krook,Gunnar Björnstrand,Undirected
Nikolay Grinko,Nikolay Sergeev,Undirected
Yacef Saadi,Samia Kerbash,Undirected
Enrique Rambal,José Baviera,Undirected
Victor Buono,Wesley Addy,Undirected
Keiju Kobayashi,Yûnosuke Itô,Undirected
Vera Miles,Lee Marvin,Undirected
Valentin Zubkov,Evgeniy Zharikov,Undirected
Gunnel Lindblom,Birgitta Pettersson,Undirected
Gene Kelly,Dick York,Undirected
Claire Maurier,Guy Decomble,Undirected
Stephen Boyd,Haya Harareet,Undirected
Minoru Chiaki,Kamatari Fujiwara,Undirected
Franca Marzi,Dorian Gray,Undirected
Isuzu Yamada,Takashi Shimura,Undirected
Jack Hawkins,Sessue Hayakawa,Undirected
Lee J. Cobb,Rod Steiger,Undirected
Peter van Eyck,Folco Lulli,Undirected
Robert Arthur,Porter Hall,Undirected
Edmond O'Brien,Margaret Wycherly,Undirected
Alida Valli,Trevor Howard,Undirected
Marius Goring,Moira Shearer,Undirected
Frank Morgan,Joseph Schildkraut,Undirected
George Sanders,Judith Anderson,Undirected
Claude Rains,Edward Arnold,Undirected
Clark Gable,Vivien Leigh,Undirected
Pierre Fresnay,Erich von Stroheim,Undirected
Walter Connolly,Roscoe Karns,Undirected
André Berley,Maurice Schutz,Undirected
Al Ernest Garcia,Harry Crocker,Undirected
Margaret Livingston,Bodil Rosing,Undirected
Marion Mack,Glen Cavender,Undirected
Friedrich Feher,Lil Dagover,Undirected
Gajraj Rao,Sanya Malhotra,Undirected
Christopher Heyerdahl,Richard Dormer,Undirected
Kumud Mishra,Prakash Belawadi,Undirected
Nawazuddin Siddiqui,Kareena Kapoor,Undirected
Rana Daggubati,Taapsee Pannu,Undirected
Rosemarie DeWitt,J.K. Simmons,Undirected
Rooney Mara,Sunny Pawar,Undirected
Kristen Wiig,Kate Mara,Undirected
Ginnifer Goodwin,Jason Bateman,Undirected
Ramya Krishnan,Sathyaraj,Undirected
Mary Steenburgen,James Marsden,Undirected
Izabela Vidovic,Julia Roberts,Undirected
Ranveer Singh,Vijay Raaz,Undirected
Manoj Bajpayee,Jimmy Sheirgill,Undirected
John Gallagher Jr.,Kaitlyn Dever,Undirected
Arifin Putra,Oka Antara,Undirected
Matthew Goode,Allen Leech,Undirected
Bradley Cooper,Zoe Saldana,Undirected
Ana de Armas,Dave Bautista,Undirected
Scarlett Johansson,Rooney Mara,Undirected
Gwilym Lee,Ben Hardy,Undirected
Will Poulter,Domhnall Gleeson,Undirected
Ezra Miller,Paul Rudd,Undirected
André Ramiro,Milhem Cortaz,Undirected
Helena Bonham Carter,Derek Jacobi,Undirected
Octavia Spencer,Bryce Dallas Howard,Undirected
T.J. Miller,Ed Skrein,Undirected
Taraneh Alidoosti,Merila Zare'i,Undirected
Kalki Koechlin,Dibyendu Bhattacharya,Undirected
Siu-Wong Fan,Ka Tung Lam,Undirected
Sheetal Menon,Katie A. Keane,Undirected
Ilker Kizmaz,Baris Bagci,Undirected
Freida Pinto,Saurabh Shukla,Undirected
Vincent Cassel,Winona Ryder,Undirected
Caio Junqueira,Milhem Cortaz,Undirected
Scarlett Johansson,Jeremy Renner,Undirected
Catherine Deneuve,Gena Rowlands,Undirected
Jared Leto,Steve Zahn,Undirected
Jaden Smith,Brian Howe,Undirected
Jennifer Connelly,Kagiso Kuypers,Undirected
Joan Allen,Julia Stiles,Undirected
Hyuk-ho Kwon,Jin-mo Joo,Undirected
Mickey Rourke,Clive Owen,Undirected
Emmanuelle Seigner,Marie-Josée Croze,Undirected
Ozan Güven,Safak Sezer,Undirected
Lou Romano,Patton Oswalt,Undirected
Judi Dench,Jeffrey Wright,Undirected
Michael Madsen,Daryl Hannah,Undirected
Konstantin Lavronenko,Nataliya Vdovina,Undirected
Jong-ho Kim,Kim Young-Min,Undirected
Lola Dueñas,Mabel Rivera,Undirected
Craig Bierko,Paul Giamatti,Undirected
Saif Ali Khan,Jaya Bachchan,Undirected
Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,Undirected
Orlando Bloom,Keira Knightley,Undirected
Billy Crudup,Jessica Lange,Undirected
Holly Hunter,Jason Lee,Undirected
In-mun Kim,Song Wok-suk,Undirected
Lauren Bacall,Harriet Andersson,Undirected
Demet Akbag,Altan Erkekli,Undirected
Mary McDonnell,Holmes Osborne,Undirected
Julianne Moore,Philip Seymour Hoffman,Undirected
David Morse,Peter Stormare,Undirected
Jane Galloway Heitz,Joseph A. Carpenter,Undirected
Shinpachi Tsuji,Masaaki Ôkura,Undirected
Thomas Bo Larsen,Paprika Steen,Undirected
Marília Pêra,Soia Lira,Undirected
Jennifer Aniston,Vin Diesel,Undirected
Thierry van Werveke,Moritz Bleibtreu,Undirected
J.T. Walsh,John Ritter,Undirected
Phyllis Logan,Claire Rushbrook,Undirected
Brad Pitt,Joseph Melito,Undirected
Akio Ôtsuka,Kôichi Yamadera,Undirected
Catherine O'Hara,William Hickey,Undirected
Chris Elliott,Stephen Tobolowsky,Undirected
Benjamin Bratt,Enrique Castillo,Undirected
James Rebhorn,Gabrielle Anwar,Undirected
Robin Williams,Linda Larkin,Undirected
Jack Lemmon,Walter Matthau,Undirected
Robby Benson,Jesse Corti,Undirected
Graham Greene,Rodney A. Grant,Undirected
Ruby Dee,Richard Edson,Undirected
Valeria Golino,Gerald R. Molen,Undirected
Mami Koyama,Tesshô Genda,Undirected
Robin Wright,Chris Sarandon,Undirected
Otto Sander,Curt Bois,Undirected
Francine Racette,Stanislas Carré de Malberg,Undirected
Kotoe Hatsui,Minori Terada,Undirected
Michael Biehn,Paul Winfield,Undirected
Rohini Hattangadi,Roshan Seth,Undirected
Ken'ichi Hagiwara,Jinpachi Nezu,Undirected
Melvyn Douglas,Jack Warden,Undirected
Tony Roberts,Carol Kane,Undirected
Richard Dreyfuss,Lorraine Gary,Undirected
Penelope Allen,Sully Boyar,Undirected
Marty Feldman,Peter Boyle,Undirected
Victor Jory,Don Gordon,Undirected
Linda Blair,Lee J. Cobb,Undirected
Alec Cawthorne,John Matthews,Undirected
Cybill Shepherd,Ben Johnson,Undirected
Leonard Frey,Molly Picon,Undirected
Gastone Moschin,Enzo Tarascio,Undirected
Katharine Ross,Strother Martin,Undirected
Ruth Gordon,Sidney Blackmer,Undirected
Kim Hunter,Maurice Evans,Undirected
Katharine Ross,William Daniels,Undirected
George Segal,Sandy Dennis,Undirected
Eleanor Parker,Richard Haydn,Undirected
Geraldine Chaplin,Rod Steiger,Undirected
Marianne Koch,Wolfgang Lukschy,Undirected
Claudia Cardinale,Sandra Milo,Undirected
André S. Labarthe,Guylaine Schlumberger,Undirected
Piper Laurie,George C. Scott,Undirected
Anouk Aimée,Yvonne Furneaux,Undirected
Ricky Nelson,Angie Dickinson,Undirected
Ben Gazzara,Arthur O'Connell,Undirected
Janet Leigh,Joseph Calleia,Undirected
Burl Ives,Jack Carson,Undirected
Susan Harrison,Martin Milner,Undirected
Vince Edwards,Jay C. Flippen,Undirected
Lillian Gish,James Gleason,Undirected
Richard Basehart,Aldo Silvani,Undirected
Paul Meurisse,Charles Vanel,Undirected
Otto Preminger,Robert Strauss,Undirected
Eddie Albert,Hartley Power,Undirected
Kim Hunter,Karl Malden,Undirected
Frank Lovejoy,Carl Benton Reid,Undirected
Valerie Hobson,Joan Greenwood,Undirected
Farley Granger,Dick Hogan,Undirected
Kirk Douglas,Rhonda Fleming,Undirected
Stanley Holloway,Joyce Carey,Undirected
Clifton Webb,Vincent Price,Undirected
Fredric March,Teresa Wright,Undirected
Raymond Massey,Jack Carson,Undirected
Gladys George,Peter Lorre,Undirected
John Carradine,Charley Grapewin,Undirected
Norman Taurog,Richard Thorpe,Undirected
Paulette Dubost,Mila Parély,Undirected
