Source,Target,Type
Nicole Kidman,Paul Bettany,Undirected
Ömer Faruk Sorak,Yilmaz Erdogan,Undirected
Jake Gyllenhaal,Jena Malone,Undirected
Tom Cruise,Jason Robards,Undirected
Björk,Catherine Deneuve,Undirected
Richard Farnsworth,Sissy Spacek,Undirected
Junko Iwao,Rica Matsumoto,Undirected
Ulrich Thomsen,Henning Moritzen,Undirected
Fernanda Montenegro,Vinícius de Oliveira,Undirected
Eli Marienthal,Harry Connick Jr.,Undirected
Til Schweiger,Jan Josef Liefers,Undirected
Billy Bob Thornton,Dwight Yoakam,Undirected
Timothy Spall,Brenda Blethyn,Undirected
Bruce Willis,Madeleine Stowe,Undirected
Atsuko Tanaka,Iemasa Kayumi,Undirected
Danny Elfman,Chris Sarandon,Undirected
Bill Murray,Andie MacDowell,Undirected
Damian Chapa,Jesse Borrego,Undirected
Al Pacino,Chris O'Donnell,Undirected
John Musker,Scott Weinger,Undirected
Kevin Costner,Gary Oldman,Undirected
Kirk Wise,Paige O'Hara,Undirected
Kevin Costner,Mary McDonnell,Undirected
Danny Aiello,Ossie Davis,Undirected
Dustin Hoffman,Tom Cruise,Undirected
Mitsuo Iwata,Nozomu Sasaki,Undirected
Cary Elwes,Mandy Patinkin,Undirected
Bruno Ganz,Solveig Dommartin,Undirected
Gaspard Manesse,Raphael Fejtö,Undirected
Mayumi Tanaka,Keiko Yokozawa,Undirected
Arnold Schwarzenegger,Linda Hamilton,Undirected
Ben Kingsley,John Gielgud,Undirected
Tatsuya Nakadai,Tsutomu Yamazaki,Undirected
Peter Sellers,Shirley MacLaine,Undirected
Woody Allen,Diane Keaton,Undirected
Roy Scheider,Robert Shaw,Undirected
Al Pacino,John Cazale,Undirected
Gene Wilder,Madeline Kahn,Undirected
Steve McQueen,Dustin Hoffman,Undirected
Ellen Burstyn,Max von Sydow,Undirected
Laurence Olivier,Michael Caine,Undirected
Timothy Bottoms,Jeff Bridges,Undirected
Topol,Norma Crane,Undirected
Jean-Louis Trintignant,Stefania Sandrelli,Undirected
Paul Newman,Robert Redford,Undirected
Mia Farrow,John Cassavetes,Undirected
Charlton Heston,Roddy McDowall,Undirected
Dustin Hoffman,Anne Bancroft,Undirected
Elizabeth Taylor,Richard Burton,Undirected
Julie Andrews,Christopher Plummer,Undirected
Omar Sharif,Julie Christie,Undirected
Clint Eastwood,Gian Maria Volontè,Undirected
Marcello Mastroianni,Anouk Aimée,Undirected
Anna Karina,Sady Rebbot,Undirected
Paul Newman,Jackie Gleason,Undirected
Marcello Mastroianni,Anita Ekberg,Undirected
John Wayne,Dean Martin,Undirected
James Stewart,Lee Remick,Undirected
Charlton Heston,Orson Welles,Undirected
Elizabeth Taylor,Paul Newman,Undirected
Burt Lancaster,Tony Curtis,Undirected
Sterling Hayden,Coleen Gray,Undirected
Robert Mitchum,Shelley Winters,Undirected
Anthony Quinn,Giulietta Masina,Undirected
Simone Signoret,Véra Clouzot,Undirected
William Holden,Don Taylor,Undirected
Gregory Peck,Audrey Hepburn,Undirected
Vivien Leigh,Marlon Brando,Undirected
Humphrey Bogart,Gloria Grahame,Undirected
Dennis Price,Alec Guinness,Undirected
James Stewart,John Dall,Undirected
Robert Mitchum,Jane Greer,Undirected
Celia Johnson,Trevor Howard,Undirected
Gene Tierney,Dana Andrews,Undirected
Myrna Loy,Dana Andrews,Undirected
Cary Grant,Priscilla Lane,Undirected
Humphrey Bogart,Mary Astor,Undirected
Henry Fonda,Jane Darwell,Undirected
George Cukor,Mervyn LeRoy,Undirected
Marcel Dalio,Nora Gregor,Undirected
William Powell,Myrna Loy,Undirected
Lew Ayres,Louis Wolheim,Undirected
Aleksandr Antonov,Vladimir Barskiy,Undirected
Daniel Craig,Chris Evans,Undirected
Sushant Singh Rajput,Sanjana Sanghi,Undirected
Lily Franky,Sakura Andô,Undirected
Adam Driver,Scarlett Johansson,Undirected
Armie Hammer,Timothée Chalamet,Undirected
Laura Obiols,Dave Johns,Undirected
Bryan Cranston,Koyu Rankin,Undirected
Sam Neill,Julian Dennison,Undirected
Viggo Mortensen,George MacKay,Undirected
Ferdia Walsh-Peelo,Aidan Gillen,Undirected
Chris Hemsworth,Tom Hiddleston,Undirected
Jake Gyllenhaal,Rene Russo,Undirected
Roman Griffin Davis,Thomasin McKenzie,Undirected
Amy Adams,Jeremy Renner,Undirected
Daisy Ridley,John Boyega,Undirected
Ethan Hawke,Julie Delpy,Undirected
Patrick Stewart,Ian McKellen,Undirected
Muhammet Uzuner,Yilmaz Erdogan,Undirected
Jean Dujardin,Bérénice Bejo,Undirected
Tom Cruise,Emily Blunt,Undirected
Jean-Louis Trintignant,Emmanuelle Riva,Undirected
Robert De Niro,Al Pacino,Undirected
Tahar Rahim,Niels Arestrup,Undirected
Sam Rockwell,Kevin Spacey,Undirected
Kåre Hedebrant,Lina Leandersson,Undirected
Sharlto Copley,David James,Undirected
Mickey Rourke,Marisa Tomei,Undirected
Shahid Kapoor,Kareena Kapoor,Undirected
Ellar Coltrane,Patricia Arquette,Undirected
Anamaria Marinca,Laura Vasiliu,Undirected
Chris Pine,Zachary Quinto,Undirected
Colin Farrell,Brendan Gleeson,Undirected
David Lee Smith,Tony Todd,Undirected
Ken Watanabe,Kazunari Ninomiya,Undirected
Lee Pace,Catinca Untaru,Undirected
Suraj Sharma,Irrfan Khan,Undirected
George Clooney,Meryl Streep,Undirected
Michel Côté,Marc-André Grondin,Undirected
Gérard Jugnot,François Berléand,Undirected
Robert Downey Jr.,Gwyneth Paltrow,Undirected
Simon Pegg,Nick Frost,Undirected
Birol Ünel,Sibel Kekilli,Undirected
Sean Penn,Tim Robbins,Undirected
Daniel Radcliffe,Emma Watson,Undirected
Jet Li,Tony Chiu-Wai Leung,Undirected
Rosario Flores,Javier Cámara,Undirected
Branko Djuric,Rene Bitorajac,Undirected
Tensai Okamura,Hiroyuki Okiura,Undirected
Franka Potente,Matt Damon,Undirected
Ricardo Darín,Gastón Pauls,Undirected
Julianne Moore,Clive Owen,Undirected
Billy Crudup,Patrick Fugit,Undirected
Naomi Watts,Laura Harring,Undirected
Ash Brannon,Lee Unkrich,Undirected
Mark Wahlberg,Julianne Moore,Undirected
Yoko Honna,Issey Takahashi,Undirected
Rena Owen,Temuera Morrison,Undirected
Christian Slater,Patricia Arquette,Undirected
Juliette Binoche,Zbigniew Zamachowski,Undirected
Kôichi Yamadera,Emi Shinohara,Undirected
Al Pacino,Sean Penn,Undirected
Johnny Depp,Winona Ryder,Undirected
Daniel Day-Lewis,Brenda Fricker,Undirected
Martin Landau,Woody Allen,Undirected
Kevin Costner,Sean Connery,Undirected
Mia Farrow,Dianne Wiest,Undirected
Jonathan Pryce,Kim Greist,Undirected
Rob Reiner,Michael McKean,Undirected
Peter Billingsley,Melinda Dillon,Undirected
John Belushi,Dan Aykroyd,Undirected
Woody Allen,Diane Keaton,Undirected
Roy Scheider,Jessica Lange,Undirected
David Emge,Ken Foree,Undirected
Dustin Hoffman,Robert Redford,Undirected
Alejandro Jodorowsky,Horacio Salinas,Undirected
Magali Noël,Bruno Zanin,Undirected
Fernando Rey,Delphine Seyrig,Undirected
Klaus Kinski,Ruy Guerra,Undirected
Ruth Gordon,Bud Cort,Undirected
George C. Scott,Karl Malden,Undirected
William Holden,Ernest Borgnine,Undirected
Duane Jones,Judith O'Dea,Undirected
Peter O'Toole,Katharine Hepburn,Undirected
Sidney Poitier,Rod Steiger,Undirected
Cary Grant,Audrey Hepburn,Undirected
Frank Sinatra,Laurence Harvey,Undirected
Kirk Douglas,Laurence Olivier,Undirected
Gabriele Ferzetti,Monica Vitti,Undirected
Emmanuelle Riva,Eiji Okada,Undirected
Charlton Heston,Yul Brynner,Undirected
John Wayne,Jeffrey Hunter,Undirected
James Dean,Raymond Massey,Undirected
Gary Cooper,Grace Kelly,Undirected
Farley Granger,Robert Walker,Undirected
James Stewart,Wallace Ford,Undirected
Edmund Gwenn,Maureen O'Hara,Undirected
Cary Grant,Ingrid Bergman,Undirected
Humphrey Bogart,Lauren Bacall,Undirected
Ray Milland,Jane Wyman,Undirected
Cary Grant,Katharine Hepburn,Undirected
Cary Grant,Rosalind Russell,Undirected
William Keighley,Errol Flynn,Undirected
Edmund Goulding,Groucho Marx,Undirected
Ernest B. Schoedsack,Fay Wray,Undirected
Wallace Ford,Leila Hyams,Undirected
Max Schreck,Alexander Granach,Undirected
Matthew McConaughey,Charlie Hunnam,Undirected
Alia Bhatt,Vicky Kaushal,Undirected
Riz Ahmed,Olivia Cooke,Undirected
Shahab Hosseini,Taraneh Alidoosti,Undirected
Fionn Whitehead,Barry Keoghan,Undirected
Giuseppe Battiston,Anna Foglietta,Undirected
Taraji P. Henson,Octavia Spencer,Undirected
Ben Whishaw,Hugh Grant,Undirected
Shahid Kapoor,Alia Bhatt,Undirected
Charlize Theron,Art Parkinson,Undirected
Sushant Singh Rajput,Kiara Advani,Undirected
Casey Affleck,Michelle Williams,Undirected
Roland Møller,Louis Hofmann,Undirected
Felicity Jones,Diego Luna,Undirected
Joe Russo,Chris Evans,Undirected
Samuel L. Jackson,Kurt Russell,Undirected
Saoirse Ronan,Emma Watson,Undirected
Hugh Welchman,Douglas Booth,Undirected
Bill Nighy,Imelda Staunton,Undirected
Bérénice Bejo,Tahar Rahim,Undirected
Toni Servillo,Carlo Verdone,Undirected
Irrfan Khan,Nimrat Kaur,Undirected
Ayushmann Khurrana,Yami Gautam,Undirected
Chris Williams,Ryan Potter,Undirected
Domhnall Gleeson,Rachel McAdams,Undirected
Sridevi,Adil Hussain,Undirected
Hideaki Anno,Hidetoshi Nishijima,Undirected
Tom Hanks,Tim Allen,Undirected
Geoffrey Rush,Jim Sturgess,Undirected
Jared Gilman,Kara Hayward,Undirected
Jay Baruchel,Cate Blanchett,Undirected
Christian Bale,Steve Carell,Undirected
Takako Matsu,Yoshino Kimura,Undirected
Lee Byung-Hun,Choi Min-sik,Undirected
